iter	Logloss
0	0.675817041
1	0.659187793
2	0.6441152344
3	0.6300950195
4	0.6164042969
5	0.6043597656
6	0.5926865723
7	0.5820644531
8	0.5717106934
9	0.5620416992
10	0.5530756836
11	0.5448473633
12	0.5370313477
13	0.5302911133
14	0.5235856445
15	0.5174360352
16	0.5117129883
17	0.5061929687
18	0.5010773438
19	0.4963481445
20	0.4919604492
21	0.4877827637
22	0.4837015137
23	0.4801954102
24	0.4767847168
25	0.4732506836
26	0.4702370117
27	0.4673557129
28	0.4643981445
29	0.4616738281
30	0.4591705566
31	0.4567907715
32	0.4545716797
33	0.4524078613
34	0.4506242188
35	0.448737793
36	0.447042627
37	0.4454425781
38	0.4439049805
39	0.4424351563
40	0.4410025391
41	0.4397937012
42	0.4385074219
43	0.4373616211
44	0.4363665527
45	0.4353553711
46	0.4343901855
47	0.4334708008
48	0.4323876953
49	0.4316228516
50	0.4308285156
51	0.4300106934
52	0.4293974609
53	0.4286013672
54	0.4278424805
55	0.4271510254
56	0.4263893066
57	0.4256241211
58	0.4250603027
59	0.4244133301
60	0.4239597656
61	0.4236989258
62	0.4232421875
63	0.4227064941
64	0.4223375
65	0.4220141113
66	0.4215871582
67	0.421148877
68	0.4208273438
69	0.4204075195
70	0.4200300293
71	0.4197147949
72	0.4194633301
73	0.4193262695
74	0.4190686523
75	0.4187018555
76	0.4183822754
77	0.4181017578
78	0.4178970703
79	0.4174052734
80	0.4171105957
81	0.4168827637
82	0.4165998047
83	0.4163358398
84	0.4160822266
85	0.4159006836
86	0.4155833008
87	0.4154890625
88	0.4152699707
89	0.4148452148
90	0.4146805176
91	0.4145266602
92	0.4143278809
93	0.4142018066
94	0.4141344238
95	0.4137474609
96	0.4136818359
97	0.4134901367
98	0.4133192383
99	0.413238916
100	0.4130599121
101	0.4129109375
102	0.4127228516
103	0.4125423828
104	0.4123672852
105	0.4122151855
106	0.412052002
107	0.4118979492
108	0.4117668945
109	0.4116744629
110	0.4115811523
111	0.4115071289
112	0.4112068848
113	0.4111268555
114	0.4110251953
115	0.4109191406
116	0.4106633789
117	0.4105960449
118	0.4103732422
119	0.4102394531
120	0.4101398438
121	0.4100501953
122	0.4099986328
123	0.4099323242
124	0.4098581055
125	0.4098083984
126	0.4096742676
127	0.4096167969
128	0.4095407715
129	0.4094386719
130	0.4093660889
131	0.4092822266
132	0.4091749023
133	0.4090906982
134	0.4090242676
135	0.4089564941
136	0.4088792725
137	0.4086236572
138	0.408579541
139	0.4084947754
140	0.4084540039
141	0.4083748779
142	0.4082760254
143	0.4082317383
144	0.4081188965
145	0.408055835
146	0.408002124
147	0.4079704834
148	0.407934082
149	0.4078436523
150	0.4078003418
151	0.4077291992
152	0.4076341064
153	0.4076178955
154	0.4075358398
155	0.4074874512
156	0.4074610596
157	0.4073850098
158	0.4073262939
159	0.4072550049
160	0.4071970459
161	0.4071324219
162	0.4070906494
163	0.4070396973
164	0.4069831543
165	0.4069474121
166	0.4069068848
167	0.406854248
168	0.4068001953
169	0.4067498535
170	0.4067364258
171	0.4066569824
172	0.4066344238
173	0.4066160645
174	0.4064335449
175	0.4064092285
176	0.4062676025
177	0.4061941895
178	0.4061551514
179	0.4060861328
180	0.406042041
181	0.4060245605
182	0.4059864014
183	0.4059422607
184	0.4058733887
185	0.4058077148
186	0.4057453125
187	0.4057197266
188	0.4055308594
189	0.4054862305
190	0.4054376465
191	0.4054087158
192	0.4053833496
193	0.4053644287
194	0.4051843262
195	0.405161084
196	0.4050577881
197	0.4050369141
198	0.4050108154
199	0.4049801758
200	0.4049493408
201	0.4049104736
202	0.4048959717
203	0.4048603516
204	0.4048441406
205	0.4047959961
206	0.4047781738
207	0.4047467285
208	0.4047130371
209	0.4046759766
210	0.4046149902
211	0.4045198242
212	0.4044992676
213	0.404464917
214	0.4044317139
215	0.4044086914
216	0.4043885498
217	0.4043470703
218	0.4043238525
219	0.4043072998
220	0.4042890381
221	0.4042710449
222	0.4042080078
223	0.4041634277
224	0.404145166
225	0.4040990723
226	0.4040808105
227	0.404052832
228	0.4040250488
229	0.4040009033
230	0.4039773437
231	0.4039418457
232	0.4039268311
233	0.4039039062
234	0.4038702393
235	0.4038520996
236	0.4038315186
237	0.4038046387
238	0.4037867432
239	0.4037427246
240	0.4037210449
241	0.4037153809
242	0.4036787598
243	0.4036529541
244	0.4036220947
245	0.4036084961
246	0.4035919434
247	0.4035690186
248	0.4035444092
249	0.4035193604
250	0.4034948975
251	0.4034614014
252	0.4034326172
253	0.4034043945
254	0.403376416
255	0.4033556641
256	0.4033388672
257	0.403322583
258	0.4032969727
259	0.4032670898
260	0.4032561035
261	0.4031740234
262	0.4031570801
263	0.4031408691
264	0.4031124512
265	0.4030945801
266	0.4030768799
267	0.403055127
268	0.4030358887
269	0.4029599609
270	0.4029398682
271	0.4029296143
272	0.4028974854
273	0.4028791748
274	0.402865625
275	0.4028510254
276	0.402834082
277	0.402702124
278	0.4026939453
279	0.4026311523
280	0.4026113037
281	0.4026013184
282	0.4025940186
283	0.4025679443
284	0.402532959
285	0.4024779785
286	0.4024623047
287	0.4024449707
288	0.4024353027
289	0.4024183105
290	0.4023588379
291	0.402307666
292	0.4022767822
