iter	Passed	Remaining
0	18	18651
1	22	11305
2	26	8723
3	30	7505
4	33	6649
5	37	6140
6	40	5778
7	44	5497
8	48	5343
9	52	5175
10	56	5077
11	60	4950
12	63	4856
13	68	4821
14	72	4778
15	76	4723
16	80	4683
17	85	4643
18	88	4575
19	92	4514
20	96	4481
21	100	4450
22	103	4413
23	108	4411
24	112	4395
25	116	4380
26	121	4371
27	125	4358
28	129	4348
29	134	4354
30	138	4336
31	143	4332
32	147	4329
33	152	4321
34	156	4305
35	160	4304
36	164	4285
37	168	4265
38	172	4259
39	176	4240
40	180	4230
41	185	4240
42	189	4217
43	193	4199
44	197	4192
45	201	4187
46	204	4155
47	208	4127
48	211	4100
49	214	4079
50	218	4062
51	221	4046
52	226	4040
53	229	4028
54	234	4026
55	238	4021
56	241	4000
57	245	3986
58	248	3963
59	251	3939
60	254	3916
61	258	3913
62	262	3900
63	265	3890
64	269	3882
65	273	3875
66	277	3860
67	280	3842
68	284	3833
69	287	3822
70	290	3805
71	293	3789
72	296	3766
73	300	3754
74	303	3743
75	307	3733
76	310	3721
77	314	3713
78	319	3724
79	325	3740
80	330	3744
81	333	3735
82	341	3774
83	350	3821
84	354	3810
85	358	3809
86	362	3799
87	365	3789
88	369	3787
89	377	3821
90	385	3854
91	393	3883
92	400	3905
93	414	3994
94	428	4079
95	435	4103
96	440	4102
97	444	4093
98	451	4107
99	456	4106
100	460	4103
101	469	4136
102	474	4128
103	481	4151
104	488	4160
105	493	4158
106	499	4168
107	504	4167
108	508	4155
109	512	4143
110	516	4140
111	520	4129
112	525	4123
113	529	4116
114	533	4106
115	537	4097
116	542	4091
117	545	4075
118	549	4069
119	552	4054
120	556	4045
121	560	4034
122	563	4017
123	567	4006
124	570	3996
125	574	3984
126	578	3973
127	581	3963
128	585	3951
129	589	3948
130	594	3942
131	603	3967
132	612	3994
133	617	3991
134	621	3982
135	625	3973
136	628	3958
137	632	3953
138	637	3946
139	643	3955
140	654	3986
141	659	3985
142	663	3976
143	667	3966
144	670	3955
145	674	3947
146	678	3938
147	682	3931
148	686	3919
149	690	3914
150	695	3911
151	699	3901
152	705	3906
153	713	3921
154	718	3918
155	725	3923
156	729	3915
157	732	3905
158	737	3899
159	744	3908
160	747	3897
161	752	3890
162	755	3881
163	760	3874
164	763	3863
165	769	3866
166	773	3858
167	777	3849
168	781	3845
169	786	3838
170	790	3831
171	795	3827
172	799	3821
173	804	3820
174	809	3815
175	814	3811
176	822	3824
177	827	3819
178	832	3816
179	837	3813
180	841	3809
181	848	3813
182	854	3813
183	951	4220
184	1018	4486
185	1024	4481
186	1040	4525
187	1059	4574
188	1076	4620
189	1100	4690
190	1144	4848
191	1163	4896
192	1178	4926
193	1185	4923
194	1194	4931
195	1204	4941
196	1212	4943
197	1227	4973
198	1237	4980
199	1244	4979
200	1250	4971
201	1257	4968
202	1268	4981
203	1281	4999
204	1288	4995
205	1296	4997
206	1310	5019
207	1316	5012
208	1330	5034
209	1340	5042
210	1352	5059
211	1361	5059
212	1371	5066
213	1377	5058
214	1385	5057
215	1392	5054
216	1403	5065
217	1418	5089
218	1426	5087
219	1444	5122
220	1464	5162
221	1486	5211
222	1519	5294
223	1546	5356
224	1563	5385
225	1584	5427
226	1596	5437
227	1608	5445
228	1622	5463
229	1629	5454
230	1639	5456
231	1647	5454
232	1653	5442
233	1661	5439
234	1667	5427
235	1673	5416
236	1679	5407
237	1688	5405
238	1693	5392
239	1705	5399
240	1709	5383
241	1718	5381
242	1722	5367
243	1730	5362
244	1734	5346
245	1741	5338
246	1748	5330
247	1755	5322
248	1765	5324
249	1771	5314
250	1780	5312
251	1785	5300
252	1792	5292
253	1797	5279
254	1805	5275
255	1812	5267
256	1820	5262
257	1825	5250
258	1836	5254
259	1841	5241
260	1852	5245
261	1858	5235
262	1866	5229
263	1871	5216
264	1879	5213
265	1898	5238
266	1903	5224
267	1914	5228
268	1947	5292
269	1961	5302
270	1969	5297
271	1976	5288
272	1982	5278
273	1994	5283
274	2000	5273
275	2010	5272
276	2035	5312
277	2042	5304
278	2054	5310
279	2066	5313
280	2079	5321
281	2094	5331
282	2099	5318
283	2108	5316
284	2113	5303
285	2125	5305
286	2130	5292
287	2137	5283
288	2141	5269
289	2147	5258
290	2156	5252
291	2169	5261
292	2188	5281
293	2198	5280
294	2213	5289
295	2223	5289
296	2228	5275
297	2242	5282
298	2272	5328
299	2317	5407
300	2350	5457
301	2362	5460
302	2370	5452
303	2378	5446
304	2386	5438
305	2394	5431
306	2407	5435
307	2425	5448
308	2434	5445
309	2442	5436
310	2453	5436
311	2463	5431
312	2468	5418
313	2479	5417
314	2484	5403
315	2494	5399
316	2502	5391
317	2511	5386
318	2524	5389
319	2540	5397
320	2545	5385
321	2562	5394
322	2570	5387
323	2588	5401
324	2600	5401
325	2620	5418
326	2625	5403
327	2635	5399
328	2649	5403
329	2655	5390
330	2672	5401
331	2683	5398
332	2696	5400
333	2713	5409
334	2726	5412
335	2734	5404
336	2746	5402
337	2758	5402
338	2773	5408
339	2794	5425
340	2816	5442
341	2837	5458
342	2850	5459
343	2859	5452
344	2867	5443
345	2874	5433
346	2881	5421
347	2887	5409
348	2896	5402
349	2906	5397
350	2912	5384
351	2922	5380
352	2931	5373
353	2940	5366
354	2947	5355
355	2957	5349
356	2965	5340
357	2972	5330
358	2982	5324
359	2987	5311
360	2994	5300
361	3000	5288
362	3009	5281
363	3016	5270
364	3027	5266
365	3035	5257
366	3040	5244
367	3053	5244
368	3065	5242
369	3072	5231
370	3083	5227
371	3096	5226
372	3104	5218
373	3113	5212
374	3126	5211
375	3141	5212
376	3146	5200
377	3156	5194
378	3162	5182
379	3172	5175
380	3179	5165
381	3188	5158
382	3195	5147
383	3204	5140
384	3211	5130
385	3219	5121
386	3226	5110
387	3235	5103
388	3243	5094
389	3251	5085
390	3257	5074
391	3266	5066
392	3273	5055
393	3282	5048
394	3288	5037
395	3297	5029
396	3304	5018
397	3313	5011
398	3318	4999
399	3328	4992
400	3335	4982
401	3344	4974
402	3354	4969
403	3359	4956
404	3369	4949
405	3375	4938
406	3381	4926
407	3388	4916
408	3398	4910
409	3403	4897
410	3413	4891
411	3419	4880
412	3429	4874
413	3434	4861
414	3445	4856
415	3451	4844
416	3461	4839
417	3468	4828
418	3477	4821
419	3482	4809
420	3493	4804
421	3498	4792
422	3507	4785
423	3517	4778
424	3524	4767
425	3533	4761
426	3540	4750
427	3548	4742
428	3553	4730
429	3560	4720
430	3568	4711
431	3579	4705
432	3585	4695
433	3595	4689
434	3601	4678
435	3610	4670
436	3616	4658
437	3625	4651
438	3630	4639
439	3636	4628
440	3644	4619
441	3649	4607
442	3657	4598
443	3662	4586
444	3668	4574
445	3676	4566
446	3686	4561
447	3693	4550
448	3702	4543
449	3708	4532
450	3718	4526
451	3725	4516
452	3734	4509
453	3740	4498
454	3749	4491
455	3755	4480
456	3763	4472
457	3769	4461
458	3779	4454
459	3784	4443
460	3797	4439
461	3806	4432
462	3816	4425
463	3826	4420
464	3832	4409
465	3842	4403
466	3849	4393
467	3859	4386
468	3909	4426
469	3920	4421
470	3935	4420
471	3947	4415
472	3954	4405
473	3963	4398
474	3984	4404
475	3993	4396
476	3998	4383
477	4006	4375
478	4012	4363
479	4022	4357
480	4027	4345
481	4036	4337
482	4041	4326
483	4049	4316
484	4055	4306
485	4064	4298
486	4069	4287
487	4078	4278
488	4083	4267
489	4090	4257
490	4099	4249
491	4105	4238
492	4113	4230
493	4119	4219
494	4128	4211
495	4143	4210
496	4152	4202
497	4162	4195
498	4169	4186
499	4179	4179
500	4189	4173
501	4195	4162
502	4204	4154
503	4209	4142
504	4215	4131
505	4224	4124
506	4232	4116
507	4243	4110
508	4252	4102
509	4259	4092
510	4269	4085
511	4284	4083
512	4292	4074
513	4301	4067
514	4310	4059
515	4316	4048
516	4327	4042
517	4332	4031
518	4342	4024
519	4349	4014
520	4365	4013
521	4375	4006
522	4383	3998
523	4390	3988
524	4399	3980
525	4406	3970
526	4415	3963
527	4421	3952
528	4430	3944
529	4437	3934
530	4446	3927
531	4451	3916
532	4457	3905
533	4464	3895
534	4474	3888
535	4480	3878
536	4490	3871
537	4496	3861
538	4506	3854
539	4512	3844
540	4521	3836
541	4528	3826
542	4538	3819
543	4546	3810
544	4556	3804
545	4569	3799
546	4578	3791
547	4584	3781
548	4593	3773
549	4599	3762
550	4610	3757
551	4622	3751
552	4632	3744
553	4643	3737
554	4652	3730
555	4659	3720
556	4668	3713
557	4681	3708
558	4687	3698
559	4697	3690
560	4703	3680
561	4711	3672
562	4717	3661
563	4726	3654
564	4732	3643
565	4739	3634
566	4745	3623
567	4751	3614
568	4759	3604
569	4769	3597
570	4775	3587
571	4783	3579
572	4789	3569
573	4797	3560
574	4802	3549
575	4809	3540
576	4817	3531
577	4826	3523
578	4832	3513
579	4840	3505
580	4846	3495
581	4853	3485
582	4860	3476
583	4866	3466
584	4874	3458
585	4881	3448
586	4889	3440
587	4897	3431
588	4906	3423
589	4912	3413
590	4920	3405
591	4926	3395
592	4934	3386
593	4940	3376
594	4948	3368
595	4952	3357
596	4958	3346
597	4966	3338
598	4971	3328
599	4980	3320
600	4985	3310
601	4995	3302
602	5001	3292
603	5010	3284
604	5016	3275
605	5021	3264
606	5030	3257
607	5045	3252
608	5051	3242
609	5059	3234
610	5065	3224
611	5073	3216
612	5078	3206
613	5086	3197
614	5091	3187
615	5098	3178
616	5105	3169
617	5111	3159
618	5119	3150
619	5124	3141
620	5133	3132
621	5138	3122
622	5145	3114
623	5151	3104
624	5156	3094
625	5165	3086
626	5170	3075
627	5179	3067
628	5184	3058
629	5193	3050
630	5199	3040
631	5206	3031
632	5212	3022
633	5218	3012
634	5225	3003
635	5231	2994
636	5240	2986
637	5245	2976
638	5254	2968
639	5260	2958
640	5268	2950
641	5274	2941
642	5283	2933
643	5289	2924
644	5297	2915
645	5303	2906
646	5310	2897
647	5315	2887
648	5320	2877
649	5327	2868
650	5332	2858
651	5338	2849
652	5343	2839
653	5349	2829
654	5357	2822
655	5363	2812
656	5371	2804
657	5376	2794
658	5382	2785
659	5391	2777
660	5397	2768
661	5406	2760
662	5413	2751
663	5423	2744
664	5429	2735
665	5438	2727
666	5449	2720
667	5460	2714
668	5467	2705
669	5475	2696
670	5481	2687
671	5490	2679
672	5495	2670
673	5504	2662
674	5509	2652
675	5519	2645
676	5525	2636
677	5535	2628
678	5539	2619
679	5547	2610
680	5553	2601
681	5563	2594
682	5571	2586
683	5582	2579
684	5589	2570
685	5597	2562
686	5604	2553
687	5615	2546
688	5626	2539
689	5636	2532
690	5643	2523
691	5656	2517
692	5665	2510
693	5671	2500
694	5682	2493
695	5689	2485
696	5699	2477
697	5706	2469
698	5717	2462
699	5728	2455
700	5736	2446
701	5746	2439
702	5754	2431
703	5762	2423
704	5772	2415
705	5780	2406
706	5789	2399
707	5796	2390
708	5806	2383
709	5817	2376
710	5824	2367
711	5836	2360
712	5842	2351
713	5851	2343
714	5859	2335
715	5868	2327
716	5875	2318
717	5884	2311
718	5892	2302
719	5900	2294
720	5909	2286
721	5926	2281
722	5933	2273
723	5943	2265
724	5951	2257
725	5959	2249
726	5967	2240
727	5974	2232
728	5984	2224
729	5990	2215
730	6000	2208
731	6008	2199
732	6018	2192
733	6030	2185
734	6041	2178
735	6050	2170
736	6081	2170
737	6093	2163
738	6102	2155
739	6120	2150
740	6128	2142
741	6137	2134
742	6146	2126
743	6155	2117
744	6166	2110
745	6174	2102
746	6182	2093
747	6189	2085
748	6197	2076
749	6204	2068
750	6211	2059
751	6217	2050
752	6225	2041
753	6231	2033
754	6237	2024
755	6243	2015
756	6249	2006
757	6253	1996
758	6258	1987
759	6263	1977
760	6268	1968
761	6273	1959
762	6278	1950
763	6284	1941
764	6290	1932
765	6295	1923
766	6301	1914
767	6307	1905
768	6314	1896
769	6320	1887
770	6327	1879
771	6334	1870
772	6341	1862
773	6348	1853
774	6355	1845
775	6360	1836
776	6366	1827
777	6371	1818
778	6377	1809
779	6384	1800
780	6391	1792
781	6397	1783
782	6402	1774
783	6409	1765
784	6415	1757
785	6421	1748
786	6425	1739
787	6430	1730
788	6436	1721
789	6440	1712
790	6445	1703
791	6451	1694
792	6456	1685
793	6461	1676
794	6466	1667
795	6471	1658
796	6476	1649
797	6482	1640
798	6487	1632
799	6493	1623
800	6498	1614
801	6504	1605
802	6509	1596
803	6514	1588
804	6519	1579
805	6524	1570
806	6529	1561
807	6535	1553
808	6544	1545
809	6553	1537
810	6558	1528
811	6563	1519
812	6569	1511
813	6575	1502
814	6581	1494
815	6587	1485
816	6593	1476
817	6599	1468
818	6605	1459
819	6611	1451
820	6617	1442
821	6622	1434
822	6628	1425
823	6634	1416
824	6638	1408
825	6643	1399
826	6649	1391
827	6655	1382
828	6661	1374
829	6667	1365
830	6673	1357
831	6678	1348
832	6684	1340
833	6690	1331
834	6697	1323
835	6703	1314
836	6709	1306
837	6715	1298
838	6720	1289
839	6726	1281
840	6732	1272
841	6738	1264
842	6744	1256
843	6750	1247
844	6757	1239
845	6763	1231
846	6768	1222
847	6773	1214
848	6779	1205
849	6785	1197
850	6790	1188
851	6796	1180
852	6802	1172
853	6809	1164
854	6814	1155
855	6820	1147
856	6826	1139
857	6833	1130
858	6839	1122
859	6844	1114
860	6850	1105
861	6856	1097
862	6862	1089
863	6868	1081
864	6873	1072
865	6878	1064
866	6884	1056
867	6890	1047
868	6896	1039
869	6902	1031
870	6908	1023
871	6914	1014
872	6919	1006
873	6929	999
874	6935	990
875	6940	982
876	6946	974
877	6952	966
878	6958	957
879	6964	949
880	6970	941
881	6976	933
882	6983	925
883	6989	917
884	6995	908
885	7000	900
886	7006	892
887	7012	884
888	7018	876
889	7025	868
890	7031	860
891	7038	852
892	7043	843
893	7049	835
894	7054	827
895	7060	819
896	7067	811
897	7072	803
898	7080	795
899	7085	787
900	7092	779
901	7097	771
902	7104	763
903	7109	755
904	7115	746
905	7121	738
906	7127	730
907	7133	722
908	7140	714
909	7144	706
910	7150	698
911	7156	690
912	7161	682
913	7166	674
914	7171	666
915	7177	658
916	7182	650
917	7188	642
918	7193	633
919	7198	625
